timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty
2025-02-03 09:30:10.689412,POWERGRID,EQ,283.3,1448030,283.3,283.5,0,863,1230
2025-02-03 09:32:39.120760,POWERGRID,EQ,283.35,1575963,283.2,283.35,0,1302,1059
2025-02-03 09:32:46.760634,POWERGRID,EQ,283.05,1581149,283.05,283.2,0,2061,221
2025-02-03 09:33:00.834562,POWERGRID,EQ,283.0,1594166,282.9,283.0,0,111,2635
2025-02-03 09:33:12.064897,POWERGRID,EQ,282.9,1625239,282.75,282.95,0,2746,432
2025-02-03 09:33:26.671944,POWERGRID,EQ,282.85,1636060,282.75,282.85,0,335,2226
2025-02-03 09:33:34.629581,POWERGRID,EQ,282.7,1640349,282.7,282.85,0,1,3271
2025-02-03 09:33:42.235199,POWERGRID,EQ,282.55,1651136,282.55,282.7,0,1759,220
2025-02-03 09:33:50.053170,POWERGRID,EQ,282.6,1657508,282.6,282.7,0,2551,25
2025-02-03 09:33:58.410243,POWERGRID,EQ,282.55,1664860,282.4,282.55,0,1191,23
2025-02-03 09:34:10.165932,POWERGRID,EQ,282.4,1671125,282.4,282.5,0,159,838
2025-02-03 09:34:23.396900,POWERGRID,EQ,282.3,1684182,282.3,282.45,0,1524,115
2025-02-03 09:34:31.376002,POWERGRID,EQ,282.25,1688927,282.3,282.4,0,100,1997
2025-02-03 09:34:39.313070,POWERGRID,EQ,282.2,1697149,282.1,282.25,0,44,826
2025-02-03 09:34:46.643980,POWERGRID,EQ,282.05,1703301,282.05,282.2,0,1270,1736
2025-02-03 09:34:56.761241,POWERGRID,EQ,281.8,1747990,281.65,281.8,0,1214,802
2025-02-03 09:35:14.317654,POWERGRID,EQ,281.55,1767335,281.5,281.55,0,207,100
2025-02-03 09:35:33.040461,POWERGRID,EQ,281.55,1777970,281.4,281.55,0,427,2329
2025-02-03 09:35:45.178057,POWERGRID,EQ,281.35,1796166,281.2,281.35,0,118,2487
2025-02-03 09:35:56.601437,POWERGRID,EQ,281.35,1807793,281.05,281.15,0,761,633
2025-02-03 09:36:04.828673,POWERGRID,EQ,281.2,1821403,281.05,281.2,0,907,999
2025-02-03 09:36:12.911593,POWERGRID,EQ,281.25,1853041,281.1,281.25,0,1,1000
2025-02-03 09:36:21.623829,POWERGRID,EQ,281.3,1856403,281.1,281.25,0,1413,717
2025-02-03 09:36:29.355470,POWERGRID,EQ,281.2,1862335,281.05,281.15,0,864,350
2025-02-03 09:36:39.787252,POWERGRID,EQ,281.3,1870486,281.15,281.3,0,1579,1221
2025-02-03 09:36:52.072659,POWERGRID,EQ,281.15,1871237,281.1,281.2,0,5,421
2025-02-03 09:37:00.878188,POWERGRID,EQ,280.95,1889362,280.8,280.95,0,1134,519
2025-02-03 09:37:09.855335,POWERGRID,EQ,280.95,1895692,280.75,280.85,0,142,134
2025-02-03 09:37:17.208727,POWERGRID,EQ,280.7,1899608,280.7,280.75,0,278,17
