timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty,stock_name,expiry
2025-02-03 09:30:10.689412,LT27FEB25F,FUTSTK,3337.5,1491750,3337.5,3338.15,16825200,150,150,LT,27-FEB-2025
2025-02-03 09:32:39.120760,LT27FEB25F,FUTSTK,3328.6,1669950,3328.55,3329.85,16883850,150,150,LT,27-FEB-2025
2025-02-03 09:32:46.760634,LT27FEB25F,FUTSTK,3325.85,1676400,3325.85,3326.75,16883850,150,300,LT,27-FEB-2025
2025-02-03 09:33:00.834562,LT27FEB25F,FUTSTK,3325.1,1684350,3325.3,3325.9,16883850,150,150,LT,27-FEB-2025
2025-02-03 09:33:12.064897,LT27FEB25F,FUTSTK,3325.5,1714050,3326.65,3327.5,16883850,150,150,LT,27-FEB-2025
2025-02-03 09:33:26.671944,LT27FEB25F,FUTSTK,3323.5,1716750,3323.75,3324.85,16883850,150,150,LT,27-FEB-2025
2025-02-03 09:33:34.629581,LT27FEB25F,FUTSTK,3322.2,1725000,3322.4,3323.2,16883850,150,150,LT,27-FEB-2025
2025-02-03 09:33:42.235199,LT27FEB25F,FUTSTK,3322.3,1731000,3321.3,3322.6,16993800,150,300,LT,27-FEB-2025
2025-02-03 09:33:50.053170,LT27FEB25F,FUTSTK,3321.25,1735500,3320.0,3321.3,16993800,5700,450,LT,27-FEB-2025
2025-02-03 09:33:58.410243,LT27FEB25F,FUTSTK,3313.8,1759200,3312.25,3313.1,16993800,150,150,LT,27-FEB-2025
2025-02-03 09:34:10.165932,LT27FEB25F,FUTSTK,3312.95,1772250,3312.0,3313.15,16993800,750,150,LT,27-FEB-2025
2025-02-03 09:34:23.396900,LT27FEB25F,FUTSTK,3312.1,1784400,3312.1,3312.65,16993800,150,750,LT,27-FEB-2025
2025-02-03 09:34:31.376002,LT27FEB25F,FUTSTK,3318.35,1796250,3318.35,3319.55,16993800,150,150,LT,27-FEB-2025
2025-02-03 09:34:39.313070,LT27FEB25F,FUTSTK,3317.2,1807500,3317.15,3318.6,16993800,300,150,LT,27-FEB-2025
2025-02-03 09:34:46.643980,LT27FEB25F,FUTSTK,3318.95,1821150,3318.0,3318.9,16993800,150,150,LT,27-FEB-2025
2025-02-03 09:34:56.761241,LT27FEB25F,FUTSTK,3310.95,1847100,3310.7,3311.95,16993800,450,150,LT,27-FEB-2025
2025-02-03 09:35:14.317654,LT27FEB25F,FUTSTK,3310.95,1859550,3310.6,3311.0,16993800,150,1050,LT,27-FEB-2025
2025-02-03 09:35:33.040461,LT27FEB25F,FUTSTK,3310.05,1872600,3309.8,3310.05,16993800,150,150,LT,27-FEB-2025
2025-02-03 09:35:45.178057,LT27FEB25F,FUTSTK,3310.25,1884450,3309.05,3310.3,16993800,450,150,LT,27-FEB-2025
2025-02-03 09:35:56.601437,LT27FEB25F,FUTSTK,3310.65,1894050,3309.8,3311.05,16993800,300,750,LT,27-FEB-2025
2025-02-03 09:36:04.828673,LT27FEB25F,FUTSTK,3309.05,1902750,3308.65,3309.6,16993800,150,150,LT,27-FEB-2025
2025-02-03 09:36:12.911593,LT27FEB25F,FUTSTK,3309.25,1908300,3308.5,3309.25,16993800,150,300,LT,27-FEB-2025
2025-02-03 09:36:21.623829,LT27FEB25F,FUTSTK,3311.6,1911750,3311.55,3312.0,16993800,300,450,LT,27-FEB-2025
