timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty,stock_name,expiry
2025-02-03 09:30:10.689412,BPCL27FEB25F,FUTSTK,247.7,3072600,247.55,247.8,68297400,10800,3600,BPCL,27-FEB-2025
2025-02-03 09:32:39.120760,BPCL27FEB25F,FUTSTK,247.4,3438000,247.25,247.4,68383800,19800,3600,BPCL,27-FEB-2025
2025-02-03 09:32:46.760634,BPCL27FEB25F,FUTSTK,247.3,3497400,247.1,247.3,68383800,14400,1800,BPCL,27-FEB-2025
2025-02-03 09:33:00.834562,BPCL27FEB25F,FUTSTK,247.1,3589200,247.0,247.1,68383800,1800,3600,BPCL,27-FEB-2025
2025-02-03 09:33:12.064897,BPCL27FEB25F,FUTSTK,246.65,3623400,246.65,246.8,68383800,1800,10800,BPCL,27-FEB-2025
2025-02-03 09:33:26.671944,BPCL27FEB25F,FUTSTK,246.65,3648600,246.55,246.75,68383800,1800,1800,BPCL,27-FEB-2025
2025-02-03 09:33:34.629581,BPCL27FEB25F,FUTSTK,246.35,3713400,246.2,246.45,68383800,9000,3600,BPCL,27-FEB-2025
2025-02-03 09:33:42.235199,BPCL27FEB25F,FUTSTK,246.35,3745800,246.2,246.4,68239800,7200,1800,BPCL,27-FEB-2025
2025-02-03 09:33:50.053170,BPCL27FEB25F,FUTSTK,246.45,3794400,246.4,246.6,68239800,1800,3600,BPCL,27-FEB-2025
2025-02-03 09:33:58.410243,BPCL27FEB25F,FUTSTK,245.75,4021200,245.75,245.95,68239800,1800,5400,BPCL,27-FEB-2025
2025-02-03 09:34:10.165932,BPCL27FEB25F,FUTSTK,245.9,4127400,245.75,245.9,68239800,1800,1800,BPCL,27-FEB-2025
2025-02-03 09:34:23.396900,BPCL27FEB25F,FUTSTK,245.55,4199400,245.45,245.65,68239800,9000,3600,BPCL,27-FEB-2025
2025-02-03 09:34:31.376002,BPCL27FEB25F,FUTSTK,245.85,4226400,245.85,246.0,68239800,7200,1800,BPCL,27-FEB-2025
2025-02-03 09:34:39.313070,BPCL27FEB25F,FUTSTK,245.85,4237200,245.65,245.85,68239800,1800,1800,BPCL,27-FEB-2025
2025-02-03 09:34:46.643980,BPCL27FEB25F,FUTSTK,245.55,4258800,245.45,245.55,68239800,1800,1800,BPCL,27-FEB-2025
2025-02-03 09:34:56.761241,BPCL27FEB25F,FUTSTK,245.6,4293000,245.45,245.65,68239800,5400,5400,BPCL,27-FEB-2025
2025-02-03 09:35:14.317654,BPCL27FEB25F,FUTSTK,245.55,4375800,245.45,245.6,68239800,5400,3600,BPCL,27-FEB-2025
2025-02-03 09:35:33.040461,BPCL27FEB25F,FUTSTK,245.5,4419000,245.3,245.5,68239800,3600,5400,BPCL,27-FEB-2025
2025-02-03 09:35:45.178057,BPCL27FEB25F,FUTSTK,245.2,4433400,245.25,245.35,68239800,1800,1800,BPCL,27-FEB-2025
2025-02-03 09:35:56.601437,BPCL27FEB25F,FUTSTK,245.05,4467600,245.0,245.2,68239800,21600,1800,BPCL,27-FEB-2025
2025-02-03 09:36:04.828673,BPCL27FEB25F,FUTSTK,245.35,4541400,245.1,245.35,68239800,3600,9000,BPCL,27-FEB-2025
2025-02-03 09:36:12.911593,BPCL27FEB25F,FUTSTK,244.55,4622400,244.5,244.75,68239800,7200,14400,BPCL,27-FEB-2025
2025-02-03 09:36:21.623829,BPCL27FEB25F,FUTSTK,244.6,4687200,244.5,244.7,68239800,3600,3600,BPCL,27-FEB-2025
2025-02-03 09:36:29.355470,BPCL27FEB25F,FUTSTK,244.9,4692600,244.7,244.9,68239800,5400,5400,BPCL,27-FEB-2025
2025-02-03 09:36:39.787252,BPCL27FEB25F,FUTSTK,244.8,4728600,244.8,245.0,68239800,1800,14400,BPCL,27-FEB-2025
2025-02-03 09:36:52.072659,BPCL27FEB25F,FUTSTK,244.85,4753800,244.7,244.85,68743800,1800,1800,BPCL,27-FEB-2025
2025-02-03 09:37:00.878188,BPCL27FEB25F,FUTSTK,244.7,4782600,244.65,244.9,68743800,3600,7200,BPCL,27-FEB-2025
2025-02-03 09:37:09.855335,BPCL27FEB25F,FUTSTK,244.85,4789800,244.85,245.0,68743800,3600,3600,BPCL,27-FEB-2025
2025-02-03 09:37:17.208727,BPCL27FEB25F,FUTSTK,244.7,4806000,244.8,244.95,68743800,1800,1800,BPCL,27-FEB-2025
2025-02-03 09:37:25.181401,BPCL27FEB25F,FUTSTK,244.8,4811400,244.8,245.0,68743800,5400,7200,BPCL,27-FEB-2025
2025-02-03 09:37:32.996811,BPCL27FEB25F,FUTSTK,244.8,4827600,244.75,244.95,68743800,3600,3600,BPCL,27-FEB-2025
2025-02-03 09:37:42.014472,BPCL27FEB25F,FUTSTK,244.55,4903200,244.4,244.6,68743800,3600,3600,BPCL,27-FEB-2025
2025-02-03 09:37:51.325264,BPCL27FEB25F,FUTSTK,244.15,4984200,244.05,244.2,68743800,3600,1800,BPCL,27-FEB-2025
2025-02-03 09:38:02.250337,BPCL27FEB25F,FUTSTK,244.3,5005800,244.2,244.3,68743800,1800,3600,BPCL,27-FEB-2025
2025-02-03 09:38:12.645619,BPCL27FEB25F,FUTSTK,244.45,5023800,244.35,244.55,68743800,3600,5400,BPCL,27-FEB-2025
2025-02-03 09:38:22.172938,BPCL27FEB25F,FUTSTK,244.3,5029200,244.3,244.5,68743800,5400,3600,BPCL,27-FEB-2025
2025-02-03 09:38:29.941115,BPCL27FEB25F,FUTSTK,244.15,5054400,244.05,244.25,68743800,5400,1800,BPCL,27-FEB-2025
2025-02-03 09:38:37.493118,BPCL27FEB25F,FUTSTK,244.15,5090400,244.05,244.2,68743800,1800,5400,BPCL,27-FEB-2025
2025-02-03 09:38:47.569722,BPCL27FEB25F,FUTSTK,244.0,5097600,243.9,244.0,68743800,3600,3600,BPCL,27-FEB-2025
2025-02-03 09:38:58.633076,BPCL27FEB25F,FUTSTK,243.85,5112000,243.85,244.0,68743800,3600,3600,BPCL,27-FEB-2025
2025-02-03 09:39:06.989042,BPCL27FEB25F,FUTSTK,244.05,5149800,243.85,244.1,68743800,7200,1800,BPCL,27-FEB-2025
2025-02-03 09:39:18.459920,BPCL27FEB25F,FUTSTK,243.75,5162400,243.75,243.95,68743800,1800,9000,BPCL,27-FEB-2025
2025-02-03 09:39:31.526679,BPCL27FEB25F,FUTSTK,243.7,5173200,243.6,243.75,68743800,3600,7200,BPCL,27-FEB-2025
2025-02-03 09:39:39.878063,BPCL27FEB25F,FUTSTK,243.5,5202000,243.35,243.45,68743800,5400,1800,BPCL,27-FEB-2025
2025-02-03 09:39:47.946752,BPCL27FEB25F,FUTSTK,243.35,5223600,243.35,243.5,68878800,1800,14400,BPCL,27-FEB-2025
2025-02-03 09:39:55.618354,BPCL27FEB25F,FUTSTK,243.2,5239800,243.1,243.3,68878800,7200,9000,BPCL,27-FEB-2025
2025-02-03 09:40:05.079589,BPCL27FEB25F,FUTSTK,243.6,5274000,243.55,243.75,68878800,1800,18000,BPCL,27-FEB-2025
2025-02-03 09:40:16.134412,BPCL27FEB25F,FUTSTK,243.35,5304600,243.4,243.55,68878800,5400,1800,BPCL,27-FEB-2025
2025-02-03 09:40:26.429727,BPCL27FEB25F,FUTSTK,243.45,5329800,243.3,243.5,68878800,3600,7200,BPCL,27-FEB-2025
2025-02-03 09:40:38.530415,BPCL27FEB25F,FUTSTK,243.7,5358600,243.55,243.75,68878800,5400,7200,BPCL,27-FEB-2025
2025-02-03 09:40:51.853249,BPCL27FEB25F,FUTSTK,243.35,5371200,243.35,243.5,68878800,3600,10800,BPCL,27-FEB-2025
2025-02-03 09:40:59.307112,BPCL27FEB25F,FUTSTK,243.55,5389200,243.55,243.7,68878800,1800,5400,BPCL,27-FEB-2025
2025-02-03 09:41:07.024663,BPCL27FEB25F,FUTSTK,243.55,5432400,243.5,243.65,68878800,5400,1800,BPCL,27-FEB-2025
2025-02-03 09:41:14.659876,BPCL27FEB25F,FUTSTK,243.35,5463000,243.3,243.4,68878800,3600,5400,BPCL,27-FEB-2025
