timestamp,symbol,instrument,ltp,volume,bid,ask,oi,bid_qty,ask_qty,stock_name,expiry
2025-02-03 09:30:10.689412,GRASIM27FEB25F,FUTSTK,2458.1,96250,2458.45,2460.4,11438500,250,250,GRASIM,27-FEB-2025
2025-02-03 09:32:39.120760,GRASIM27FEB25F,FUTSTK,2465.8,105250,2465.7,2467.6,11437000,250,500,GRASIM,27-FEB-2025
2025-02-03 09:32:46.760634,GRASIM27FEB25F,FUTSTK,2465.75,105500,2465.75,2467.15,11437000,500,250,GRASIM,27-FEB-2025
2025-02-03 09:33:00.834562,GRASIM27FEB25F,FUTSTK,2466.6,106250,2465.45,2467.0,11437000,250,250,GRASIM,27-FEB-2025
2025-02-03 09:33:12.064897,GRASIM27FEB25F,FUTSTK,2466.95,106500,2465.85,2467.0,11437000,250,250,GRASIM,27-FEB-2025
2025-02-03 09:33:26.671944,GRASIM27FEB25F,FUTSTK,2467.65,107500,2467.5,2467.8,11437000,250,250,GRASIM,27-FEB-2025
2025-02-03 09:33:34.629581,GRASIM27FEB25F,FUTSTK,2467.95,108500,2465.8,2467.55,11437000,250,250,GRASIM,27-FEB-2025
2025-02-03 09:33:42.235199,GRASIM27FEB25F,FUTSTK,2467.95,108500,2465.45,2467.55,11437000,250,500,GRASIM,27-FEB-2025
2025-02-03 09:33:50.053170,GRASIM27FEB25F,FUTSTK,2467.95,108500,2466.1,2467.55,11437000,250,250,GRASIM,27-FEB-2025
2025-02-03 09:33:58.410243,GRASIM27FEB25F,FUTSTK,2466.25,109000,2465.0,2466.75,11435750,250,250,GRASIM,27-FEB-2025
2025-02-03 09:34:10.165932,GRASIM27FEB25F,FUTSTK,2466.35,109750,2465.2,2466.4,11435750,250,500,GRASIM,27-FEB-2025
2025-02-03 09:34:23.396900,GRASIM27FEB25F,FUTSTK,2467.95,113000,2467.6,2469.0,11435750,250,500,GRASIM,27-FEB-2025
2025-02-03 09:34:31.376002,GRASIM27FEB25F,FUTSTK,2468.75,114750,2468.35,2469.35,11435750,500,250,GRASIM,27-FEB-2025
2025-02-03 09:34:39.313070,GRASIM27FEB25F,FUTSTK,2468.35,115250,2467.45,2468.85,11435750,750,250,GRASIM,27-FEB-2025
2025-02-03 09:34:46.643980,GRASIM27FEB25F,FUTSTK,2468.35,115250,2467.5,2468.65,11435750,750,500,GRASIM,27-FEB-2025
2025-02-03 09:34:56.761241,GRASIM27FEB25F,FUTSTK,2471.6,120000,2469.95,2471.45,11435750,250,250,GRASIM,27-FEB-2025
2025-02-03 09:35:14.317654,GRASIM27FEB25F,FUTSTK,2466.65,123750,2466.05,2467.2,11435750,250,250,GRASIM,27-FEB-2025
2025-02-03 09:35:33.040461,GRASIM27FEB25F,FUTSTK,2468.25,124250,2466.45,2468.35,11435750,250,250,GRASIM,27-FEB-2025
2025-02-03 09:35:45.178057,GRASIM27FEB25F,FUTSTK,2468.55,124500,2466.7,2468.65,11435750,250,250,GRASIM,27-FEB-2025
2025-02-03 09:35:56.601437,GRASIM27FEB25F,FUTSTK,2470.9,129000,2470.4,2472.15,11435750,250,250,GRASIM,27-FEB-2025
2025-02-03 09:36:04.828673,GRASIM27FEB25F,FUTSTK,2472.35,131000,2470.9,2472.85,11435750,250,250,GRASIM,27-FEB-2025
